---------------------------
-----Ist-Einkaufsliste-----
---------------------------
4;Butter;Milch;
7;Milch;Salami;Kaese;
13;Milch;Kaese;Salami;
17;Milch;Kaese;Butter;
20;Butter;Salami;Joghurt;
25;Salami;Joghurt;Milch;
28;Milch;Salami;Kaese;
32;Kaese;Milch;Salami;
38;Milch;Kaese;Butter;
42;Butter;Joghurt;Milch;
47;Milch;Joghurt;Salami;Kaese;
54;Milch;Salami;
57;Milch;Butter;Kaese;
60;Butter;Salami;
64;Salami;Milch;Kaese;
68;Milch;Salami;Joghurt;
73;Salami;Joghurt;Milch;Kaese;
78;Milch;Kaese;Butter;Salami;
82;Butter;Milch;Kaese;
85;Milch;Kaese;Salami;
90;Salami;Milch;Kaese;
93;Milch;Salami;Joghurt;
97;Milch;
101;Milch;Butter;Kaese;Salami;
109;Butter;Salami;Milch;
113;Milch;Kaese;
117;Milch;Kaese;Salami;Joghurt;
120;Salami;Milch;Butter;
124;Butter;Kaese;Salami;Milch;
128;Milch;
131;Milch;Salami;
135;Salami;Kaese;Milch;
139;Milch;Salami;Butter;
144;Butter;Joghurt;Milch;Kaese;
149;Milch;Kaese;Salami;
