---------------------------
-----Ist-Einkaufsliste-----
---------------------------
4;
7;Salami;Milch;
13;Milch;Salami;
17;Milch;Kaese;Butter;
20;Salami;Joghurt;
25;Milch;Salami;
28;Kaese;
32;Salami;Milch;
38;Milch;Kaese;Butter;Salami;
42;Joghurt;Milch;
47;Salami;Milch;Kaese;
54;Milch;Salami;
57;Butter;Kaese;Milch;
60;Salami;
64;Milch;Kaese;
68;Salami;Joghurt;
73;Milch;Kaese;
78;Butter;Milch;
82;Milch;Kaese;
85;Salami;
90;Milch;Kaese;
93;Salami;Joghurt;Milch;
97;
101;Butter;Salami;Milch;Kaese;
109;Salami;Milch;
113;Kaese;Milch;
117;Salami;Joghurt;
120;Milch;Butter;
124;Kaese;Salami;Milch;
128;Milch;
131;
135;Kaese;Milch;
139;Salami;Butter;
144;Milch;Joghurt;
149;Salami;Milch;
