---------------------------
-----Ist-Einkaufsliste-----
---------------------------
4;Milch;
7;Salami;
13;Milch;
17;Milch;Kaese;Butter;
20;Salami;Joghurt;
25;Milch;Salami;
28;Kaese;
32;Salami;Milch;
38;Milch;Salami;Butter;
42;Joghurt;
47;Milch;Salami;
54;Milch;
57;Kaese;Butter;
60;
64;Milch;Kaese;
68;Salami;Joghurt;
73;Milch;Kaese;
78;Butter;Salami;
82;Milch;Kaese;
85;Salami;
90;Milch;Kaese;
93;Salami;Joghurt;
97;Milch;
101;Butter;Kaese;Salami;
109;Salami;Milch;
113;Kaese;Milch;
117;Salami;
120;Milch;Butter;
124;Kaese;Salami;
128;Milch;
131;Salami;Joghurt;
135;Milch;
139;Salami;Butter;
144;Milch;Joghurt;Kaese;
149;Salami;Milch;
